"No.","Stores","Warehouse","Category","Description","Last Update"
"1","A1-1","WISNU","SPARE PART","","December 17, 2016"
"2","A1-2","WISNU","SPARE PART","","December 17, 2016"
"3","A1-3","WISNU","SPARE PART","","December 17, 2016"
"4","A1-4","WISNU","SPARE PART","","December 17, 2016"
"5","A1-5","WISNU","SPARE PART","","December 17, 2016"
"6","A2","WISNU","SPARE PART","","December 17, 2016"
"7","A2-1","WISNU","SPARE PART","","December 17, 2016"
"8","A2-2","WISNU","SPARE PART","","December 17, 2016"
"9","A2-3","WISNU","SPARE PART","","December 17, 2016"
"10","A2-4","WISNU","SPARE PART","","December 17, 2016"
"11","A2-5","WISNU","SPARE PART","","December 17, 2016"
"12","A2-6","WISNU","SPARE PART","","December 17, 2016"
"13","A2-7","WISNU","SPARE PART","","December 17, 2016"
"14","A2-8","WISNU","SPARE PART","","December 17, 2016"
"15","A2-9","WISNU","SPARE PART","","December 17, 2016"
"16","A3-1","WISNU","SPARE PART","","December 17, 2016"
"17","A3-10","WISNU","SPARE PART","","December 17, 2016"
"18","A3-11","WISNU","SPARE PART","","December 17, 2016"
"19","A3-12","WISNU","SPARE PART","","December 17, 2016"
"20","A3-13","WISNU","SPARE PART","","December 17, 2016"
"21","A3-14","WISNU","SPARE PART","","December 17, 2016"
"22","A3-15","WISNU","SPARE PART","","December 17, 2016"
"23","A3-16","WISNU","SPARE PART","","December 17, 2016"
"24","A3-17","WISNU","SPARE PART","","December 17, 2016"
"25","A3-18","WISNU","SPARE PART","","December 17, 2016"
"26","A3-19","WISNU","SPARE PART","","December 17, 2016"
"27","A3-2","WISNU","SPARE PART","","December 17, 2016"
"28","A3-20","WISNU","SPARE PART","","December 17, 2016"
"29","A3-21","WISNU","SPARE PART","","December 17, 2016"
"30","A3-3","WISNU","SPARE PART","","December 17, 2016"
"31","A3-4","WISNU","SPARE PART","","December 17, 2016"
"32","A3-5","WISNU","SPARE PART","","December 17, 2016"
"33","A3-6","WISNU","SPARE PART","","December 17, 2016"
"34","A3-7","WISNU","SPARE PART","","December 17, 2016"
"35","A3-8","WISNU","SPARE PART","","December 17, 2016"
"36","A3-9","WISNU","SPARE PART","","December 17, 2016"
"37","A4-1","WISNU","SPARE PART","","December 17, 2016"
"38","A4-2","WISNU","SPARE PART","","December 17, 2016"
"39","A5-1","WISNU","SPARE PART","","December 17, 2016"
"40","A5-2","WISNU","SPARE PART","","December 17, 2016"
"41","A5-3","WISNU","SPARE PART","","December 17, 2016"
"42","A5-4","WISNU","SPARE PART","","December 17, 2016"
"43","A5-5","WISNU","SPARE PART","","December 17, 2016"
"44","A5-6","WISNU","SPARE PART","","December 17, 2016"
"45","A5-7","WISNU","SPARE PART","","December 17, 2016"
"46","A5-8","WISNU","SPARE PART","","December 17, 2016"
"47","A5-9","WISNU","SPARE PART","","December 17, 2016"
"48","B1","WISNU","SPARE PART","","December 17, 2016"
"49","B1-1","WISNU","SPARE PART","","December 17, 2016"
"50","B1-2","WISNU","SPARE PART","","December 17, 2016"
"51","B1-3","WISNU","SPARE PART","","December 17, 2016"
"52","B2","WISNU","SPARE PART","","December 17, 2016"
"53","B2-1","WISNU","SPARE PART","","December 17, 2016"
"54","B2-2","WISNU","SPARE PART","","December 17, 2016"
"55","B2-3","WISNU","SPARE PART","","December 17, 2016"
"56","B2-4","WISNU","SPARE PART","","December 17, 2016"
"57","B2-5","WISNU","SPARE PART","","December 17, 2016"
"58","B3","WISNU","SPARE PART","","December 17, 2016"
"59","B3-1","WISNU","SPARE PART","","December 17, 2016"
"60","B3-10","WISNU","SPARE PART","","December 17, 2016"
"61","B3-11","WISNU","SPARE PART","","December 17, 2016"
"62","B3-12","WISNU","SPARE PART","","December 17, 2016"
"63","B3-13","WISNU","SPARE PART","","December 17, 2016"
"64","B3-14","WISNU","SPARE PART","","December 17, 2016"
"65","B3-15","WISNU","SPARE PART","","December 17, 2016"
"66","B3-16","WISNU","SPARE PART","","December 17, 2016"
"67","B3-17","WISNU","SPARE PART","","December 17, 2016"
"68","B3-18","WISNU","SPARE PART","","December 17, 2016"
"69","B3-19","WISNU","SPARE PART","","December 17, 2016"
"70","B3-2","WISNU","SPARE PART","","December 17, 2016"
"71","B3-20","WISNU","SPARE PART","","December 17, 2016"
"72","B3-3","WISNU","SPARE PART","","December 17, 2016"
"73","B3-4","WISNU","SPARE PART","","December 17, 2016"
"74","B3-5","WISNU","SPARE PART","","December 17, 2016"
"75","B3-6","WISNU","SPARE PART","","December 17, 2016"
"76","B3-7","WISNU","SPARE PART","","December 17, 2016"
"77","B3-8","WISNU","SPARE PART","","December 17, 2016"
"78","B3-9","WISNU","SPARE PART","","December 17, 2016"
"79","B4","WISNU","SPARE PART","","December 17, 2016"
"80","B4-1","WISNU","SPARE PART","","December 17, 2016"
"81","B4-2","WISNU","SPARE PART","","December 17, 2016"
"82","B4-3","WISNU","SPARE PART","","December 17, 2016"
"83","B5","WISNU","SPARE PART","","December 17, 2016"
"84","B5-1","WISNU","SPARE PART","","December 17, 2016"
"85","B5-2","WISNU","SPARE PART","","December 17, 2016"
"86","B5-3","WISNU","SPARE PART","","December 17, 2016"
"87","B5-4","WISNU","SPARE PART","","December 17, 2016"
"88","B5-5","WISNU","SPARE PART","","December 17, 2016"
"89","BOX RIVET ROOL","WISNU","SPARE PART","","December 17, 2016"
"90","BWI","BANYUWANGI","SPARE PART","","December 17, 2016"
"91","C1","WISNU","SPARE PART","","December 17, 2016"
