"No.","Unit","Description","Last Update"
"1","ASSY","","UNKNOWN"
"2","CAN","","UNKNOWN"
"3","CM","","UNKNOWN"
"4","EA","each","July 31, 2016"
"5","FEET","","UNKNOWN"
"6","FT","","UNKNOWN"
"7","GLN","","UNKNOWN"
"8","KG","","UNKNOWN"
"9","KIT","","UNKNOWN"
"10","KITS","","UNKNOWN"
"11","LBS","","UNKNOWN"
"12","LITER","","UNKNOWN"
"13","LTR","","UNKNOWN"
"14","MTR","","UNKNOWN"
"15","PACK","","UNKNOWN"
"16","PAIL","","UNKNOWN"
"17","PAIR","","UNKNOWN"
"18","QTS","","UNKNOWN"
"19","ROL","","UNKNOWN"
"20","ROLL","","UNKNOWN"
"21","SET","","UNKNOWN"
