No.,MS#,MS Date,Aircraft,Description,Part Number,Serial Number,Qty,Unit,Warehouse,Stores,Req. Reference,Remark
1,3942/MS/SPR/2016,29-Nov-16,PK-ROM,OIL ENGINE,ASW100+,N/A,8,LITER,SOLO,SOLO,N/A,
2,3942/MS/SPR/2016,28-Nov-16,PK-ROM,OIL FILTER,CH48110-1,N/A,1,EA,SOLO,SOLO,N/A,
3,3942/MS/SPR/2016,26-Nov-16,PK-ROQ,OIL ENGINE,ASW100+,N/A,8,LITER,SOLO,SOLO,N/A,
4,3942/MS/SPR/2016,26-Nov-16,PK-ROQ,COTTER PIN,MS-24665-134,N/A,2,EA,SOLO,SOLO,N/A,
5,3942/MS/SPR/2016,26-Nov-16,PK-ROQ,COTTER PIN,MS-24665-360,N/A,2,EA,SOLO,SOLO,N/A,
6,3942/MS/SPR/2016,26-Nov-16,PK-ROQ,AIR FILTER,BA6108,N/A,1,EA,SOLO,SOLO,N/A,
7,3942/MS/SPR/2016,26-Nov-16,PK-ROQ,GARTER FILTER,B3-5-1,N/A,1,EA,SOLO,SOLO,N/A,
8,3942/MS/SPR/2016,26-Nov-16,PK-ROQ,OIL FILTER,CH48110-1,N/A,1,EA,SOLO,SOLO,N/A,
9,3942/MS/SPR/2016,25-Nov-16,PK-ROM,OIL ENGINE,ASW100+,N/A,1,LITER,SOLO,SOLO,N/A,
10,3942/MS/SPR/2016,24-Nov-16,PK-ROQ,NAV/COMM KX155A,069-01032-0101,20110,1,EA,SOLO,SOLO,N/A,
11,3942/MS/SPR/2016,21-Nov-16,PK-ROM,OIL ENGINE,ASW100+,N/A,1,LITER,SOLO,SOLO,N/A,
12,3942/MS/SPR/2016,17-Nov-16,PK-ROQ,OIL ENGINE,ASW100+,N/A,1,LITER,SOLO,SOLO,N/A,
13,3942/MS/SPR/2016,31-Oct-16,PK-ROQ,HORN ASSY STALL WARMING,0713348-1,N/A,1,EA,SOLO,SOLO,N/A,
14,3942/MS/SPR/2016,31-Oct-16,PK-ROU,SPARK PLUG,REM40E,N/A,1,EA,SOLO,SOLO,N/A,
15,3942/MS/SPR/2016,31-Oct-16,PK-ROU,OIL ENGINE,ASW100+,N/A,8,LITER,SOLO,SOLO,N/A,
16,3942/MS/SPR/2016,31-Oct-16,PK-ROU,OIL FILTER,CH48110-1,N/A,1,EA,SOLO,SOLO,N/A,
17,3942/MS/SPR/2016,28-Oct-16,PK-ROQ,OIL FILTER,CH48110-1,N/A,1,EA,SOLO,SOLO,N/A,
18,3942/MS/SPR/2016,28-Oct-16,PK-ROQ,OIL ENGINE,ASW100+,N/A,8,LITER,SOLO,SOLO,N/A,
19,3942/MS/SPR/2016,27-Oct-16,PK-ROM,OIL ENGINE,ASW100+,N/A,8,LITER,SOLO,SOLO,N/A,
20,3942/MS/SPR/2016,27-Oct-16,PK-ROM,FILTER ELEMENT,BA-6108,N/A,1,EA,SOLO,SOLO,N/A,
21,3942/MS/SPR/2016,27-Oct-16,PK-ROM,SPARK PLUG,REM40E,N/A,1,EA,SOLO,SOLO,N/A,
22,3942/MS/SPR/2016,27-Oct-16,PK-ROM,GARTER FILTER,B3-5-1,N/A,1,EA,SOLO,SOLO,N/A,
23,3942/MS/SPR/2016,27-Oct-16,PK-ROM,OIL FILTER,CH48110-1,N/A,1,EA,SOLO,SOLO,N/A,
24,3942/MS/SPR/2016,27-Oct-16,PK-ROM,GREASE SEAL FELT,154-01300,N/A,1,EA,SOLO,SOLO,N/A,
25,3942/MS/SPR/2016,27-Oct-16,PK-ROM,COTTER PIN,MS-24665-134,N/A,2,EA,SOLO,SOLO,N/A,
26,3942/MS/SPR/2016,27-Oct-16,PK-ROM,COTTER PIN,MS-24665-360,N/A,2,EA,SOLO,SOLO,N/A,
27,3942/MS/SPR/2016,27-Oct-16,PK-ROM,RIVET,105-00200,N/A,2,EA,SOLO,SOLO,N/A,
28,3942/MS/SPR/2016,27-Oct-16,PK-ROM,BRAKE LINNING,066-030026,N/A,1,EA,SOLO,SOLO,N/A,
29,3942/MS/SPR/2016,26-Oct-16,PK-ROQ,OIL ENGINE,ASW100+,N/A,1,LITER,SOLO,SOLO,N/A,
30,3942/MS/SPR/2016,20-Oct-16,PK-ROM,OIL ENGINE,ASW100+,N/A,1,LITER,SOLO,SOLO,N/A,
31,3942/MS/SPR/2016,20-Oct-16,PK-ROU,OIL ENGINE,ASW100+,N/A,1,LITER,SOLO,SOLO,N/A,
32,3942/MS/SPR/2016,20-Oct-16,PK-ROQ,OIL ENGINE,ASW100+,N/A,1,LITER,SOLO,SOLO,N/A,
33,3942/MS/SPR/2016,19-Oct-16,PK-ROM,RIVET,105-00200,N/A,2,EA,SOLO,SOLO,N/A,
34,3942/MS/SPR/2016,19-Oct-16,PK-ROM,BRAKE LINNING,066-030026,N/A,1,EA,SOLO,SOLO,N/A,
35,3942/MS/SPR/2016,19-Oct-16,PK-ROQ,OIL ENGINE,ASW100+,N/A,1,LITER,SOLO,SOLO,N/A,
36,3942/MS/SPR/2016,18-Oct-16,PK-ROU,OIL ENGINE,ASW100+,N/A,1,LITER,SOLO,SOLO,N/A,
37,3942/MS/SPR/2016,18-Oct-16,PK-ROM,OIL ENGINE,ASW100+,N/A,1,LITER,SOLO,SOLO,N/A,
38,3942/MS/SPR/2016,15-Oct-16,PK-ROQ,OIL ENGINE,ASW100+,N/A,0.5,LITER,SOLO,SOLO,N/A,
39,3942/MS/SPR/2016,15-Oct-16,PK-ROM,OIL ENGINE,ASW100+,N/A,0.5,LITER,SOLO,SOLO,N/A,
40,3942/MS/SPR/2016,13-Oct-16,PK-ROM,OIL ENGINE,ASW100+,N/A,8,LITER,SOLO,SOLO,N/A,
