GROUP;DESCRIPTION;P/N;ALT P/N;MIN QTY;UNIT
Consumable Part;"""O"" RING";M83248/1-012;N/A;;EA
Consumable Part;1/4 RMG TERMINAL / RED;320559;N/A;;EA
Consumable Part;ABSOLUTE RELIEF VALVE;LW16265-1;N/A;;EA
Consumable Part;ACTUATOR AY;1260074-1;N/A;;EA
Consumable Part;ADAPTER;0770641-4;N/A;;EA
Consumable Part;ADAPTER;05-06924;N/A;;EA
Consumable Part;ADAPTER;S3014-2-4;N/A;;EA
Consumable Part;ADAPTER;1213158-3;N/A;;EA
Consumable Part;ADAPTER AY;0700325-2;N/A;;EA
Consumable Part;ADAPTER CHARGER;AD-101;N/A;;EA
Consumable Part;ADAPTER VENT TUBE;CW-172001;N/A;;EA
Consumable Part;ADAPTER/CLAMP;MS3057-4A;N/A;;EA
Consumable Part;ADAPTOR MAGNETO;8767;N/A;;EA
Consumable Part;ADROX;ADROX6025;N/A;;LTR
Consumable Part;ADROX;6025;N/A;;PAIL
Consumable Part;ADROX CORROSION;AV-5;N/A;;EA
Consumable Part;AERO FLASH STROBE 24V;156-0004;N/A;;EA
Consumable Part;AERODUR PRIMER;S15/90;N/A;;PAIL
Consumable Part;AERODUR WHITE;C21/100UVR BAC 7067;N/A;;PAIL
Consumable Part;AFT SIDE WINDOW;P6515027-22;N/A;;EA
Consumable Part;AFT SIDE WINDOW;P6515027-21;N/A;;EA
Consumable Part;AIR BOX;0552164-4;N/A;;EA
Consumable Part;AIR FILTER;BA6108;N/A;;EA
Consumable Part;AIR FILTER;BA4108;N/A;;EA
Consumable Part;AIR FILTER;198281;N/A;;EA
Consumable Part;AIR FILTER ELEMENT;D9-18-1;N/A;;EA
Consumable Part;AIR SCOOP RADIO COOLING;1470219-1;N/A;;EA
Consumable Part;ALIGNMENT WASHER;MS-AW;N/A;;EA
Consumable Part;ALLUMUNIUM FLARED TUBE PLUG;AN806-2D;N/A;;EA
Consumable Part;ALLUMUNIUM FLARED TUBE PLUG;AN806-4D;N/A;;EA
Consumable Part;ALODINE;MIL-DTL-81706B(594693);N/A;;EA
Consumable Part;ALTERNATOR CONTROL UNIT;AC2101;N/A;;EA
Consumable Part;AMPERES GAGE;2867768;N/A;;EA
Consumable Part;AMPLY DYNAMIC MIC;12948G-01;N/A;;EA
Consumable Part;ANCHOR;S1741-3;N/A;;EA
Consumable Part;ANGLE;0713070-37;N/A;;EA
Consumable Part;ANGLE 1/2 X 1/2;10133-0401;N/A;;EA
Consumable Part;ANTENA;071-00221-0010;N/A;;EA
Consumable Part;ANTENA COUFLER;CU-110;N/A;;EA
Consumable Part;ANTENA SENSE ADF;AV-545;N/A;;EA
Consumable Part;ANTENA VHF COM;CI-177;N/A;;EA
Consumable Part;ANTENA VOR/LOC/GS;C598504-0101;N/A;;EA
Consumable Part;ANTENNA MARKER BEACON;AV-64;N/A;;EA
Consumable Part;ANTI SIZE;15-04985;N/A;;EA
Consumable Part;ARM AY DOOR;0711021-11;N/A;;EA
Consumable Part;ARM LOCK;0717024-25;N/A;;EA
Consumable Part;ARM REST;K2415003-2;N/A;;EA
Consumable Part;ARM REST;K2415003-1;N/A;;EA
Consumable Part;ARMREST;K2415009-3;N/A;;EA
Consumable Part;ARMREST;K2415009-4;N/A;;EA
Consumable Part;ATTITUDE DIGITALIZER;A-30;N/A;;EA
Consumable Part;ATTITUDE ENCODER;ACK A-30;N/A;;EA
Consumable Part;ATTITUDE MANAGEMENTS;8900;N/A;;EA
Consumable Part;AUTOMATIC PRESURE ALTITUDE;C749001-0101;N/A;;EA
Consumable Part;AVIONIC COOLING KIT;071-4037-00;N/A;;EA
Consumable Part;AXLE LANDING GEAR;543003;N/A;;EA
Consumable Part;AXLE MAIN LANDING GEAR;0541199-1;N/A;;EA
Consumable Part;BAFFLE;86939-002;N/A;;EA
Consumable Part;BAFFLE ASSY;86873-002;N/A;;EA
Consumable Part;BAFFLE ASSY;86203-007;N/A;;EA
Consumable Part;BAFFLE ASSY;86827-018;N/A;;EA
Consumable Part;BAFFLE ASSY;86203-008;N/A;;EA
Consumable Part;BAFFLE ASSY;86847-002;N/A;;EA
Consumable Part;BAFFLE ASSY;86827-006;N/A;;EA
Consumable Part;BAFFLE SEAL;JM106A;N/A;;FT
Consumable Part;BAFFLE SEAL;VISR3640;N/A;;FT
Consumable Part;BAFFLE SILICONE;05-00811;05-00811;;FEET
Consumable Part;BAGGAGE;K0515015-1;N/A;;EA
Consumable Part;BATTERAY 12 V;G 35;N/A;;EA
Consumable Part;BATTERY;G243 D;N/A;;EA
Consumable Part;BATTERY;G243;N/A;;EA
Consumable Part;BATTERY;CR123A;N/A;;EA
Consumable Part;BATTERY;G243D;N/A;;EA
Consumable Part;BATTERY CONTACTOR;S1580-1;N/A;;EA
Consumable Part;BATTERY ELT 406;452-6499;N/A;;EA
Consumable Part;BATTERY RELLAY;S2475-2;N/A;;EA
Consumable Part;BEARING;LM67048-20629;N/A;;EA
Consumable Part;BEARING;LM29749-20629;N/A;;EA
Consumable Part;BEARING;S1675-1;N/A;;EA
Consumable Part;BEARING;LM-19749;N/A;;EA
