GROUP,DESCRIPTION,Part Number,ALT P/N,Serial Number,MIN QTY,Unit,CONDITION,WAREHOUSE,STORES,QTY,EXPIRED DATE,GRN NO,VENDOR,RECEIVED DATE,RECEIVED BY,ORDER NUMBER,REFERENCE NUMBER,AWB NUMBER,REMARK,UNIT VALUE
CONSUMABLE PART,"""O"" RING",M83248/1-012,,,0,EA,,WISNU,D2-11,147,,,,,,,,,,0
CONSUMABLE PART,1/4 RMG TERMINAL / RED,320559,,,0,EA,,WISNU,D3-5,50,,,,,,,,,,0
CONSUMABLE PART,1/4 RMG TERMINAL / RED,320559,,,0,EA,,WISNU,D3-5,50,,,,,,,,,,0
CONSUMABLE PART,ABSOLUTE RELIEF VALVE,LW16265-1,,H-RJN00159,0,EA,,WISNU,G4,1,,,,,,,,,,0
CONSUMABLE PART,ACTUATOR AY,1260074-1,,,0,EA,,WISNU,A2-5,2,,,,,,,,,,0
CONSUMABLE PART,ADAPTER,05-06924,,,0,EA,,WISNU,A3-9,6,,,,,,,,,,0
CONSUMABLE PART,ADAPTER,0770641-4,,,0,EA,,WISNU,A2-9,5,,,,,,,,,,0
CONSUMABLE PART,ADAPTER,1213158-3,,,0,EA,,WISNU,D2-11,4,,,,,,,,,,0
CONSUMABLE PART,ADAPTER,S3014-2-4,,,0,EA,,WISNU,A3-9,9,,,,,,,,,,0
CONSUMABLE PART,ADAPTER AY,0700325-2,,,0,EA,,WISNU,D2-9,3,,,,,,,,,,0
CONSUMABLE PART,ADAPTER CHARGER,AD-101,,,0,EA,,WISNU,E2,2,,,,,,,,,,0
CONSUMABLE PART,ADAPTER VENT TUBE,CW-172001,,,0,EA,,WISNU,A3-9,6,,,,,,,,,,0
CONSUMABLE PART,ADAPTER/CLAMP,MS3057-4A,,,0,EA,,WISNU,A3-18,27,,,,,,,,,,0
CONSUMABLE PART,ADAPTOR MAGNETO,8767,,,0,EA,,WISNU,G3,18,,,,,,,,,,0
CONSUMABLE PART,ADROX,6025,,,0,PAIL,,WISNU,FLAMABLE ROOM,1,,,,,,,,,,0
CONSUMABLE PART,ADROX,ADROX6025,,,0,LTR,,WISNU,FLAMABLE ROOM,13,,,,,,,,,,0
CONSUMABLE PART,ADROX CORROSION,AV-5,,,0,EA,,WISNU,D1,2,,,,,,,,,,0
CONSUMABLE PART,AERO FLASH STROBE 24V,156-0004,,,0,EA,,WISNU,C4-2,1,,,,,,,,,,0
CONSUMABLE PART,AERODUR PRIMER,S15/90,,,0,PAIL,,WISNU,CONTAINER,1,,,,,,,,,,0
CONSUMABLE PART,AERODUR WHITE,C21/100UVR BAC 7067,,,0,PAIL,,WISNU,CONTAINER,2,,,,,,,,,,0
CONSUMABLE PART,AFT SIDE WINDOW,P6515027-21,,,0,EA,,WISNU,B4-1,3,,,,,,,,,,0
CONSUMABLE PART,AFT SIDE WINDOW,P6515027-22,,,0,EA,,WISNU,B4-1,1,,,,,,,,,,0
CONSUMABLE PART,AIR BOX,0552164-4,,,0,EA,,WISNU,D1,0,,,,,,,,,,0
CONSUMABLE PART,AIR BOX,0552164-4,,,0,EA,,WISNU,D1,0,,,,,,,,,,0
CONSUMABLE PART,AIR BOX,0552164-4,,,0,EA,,WISNU,D1,0,,,,,,,,,,0
CONSUMABLE PART,AIR FILTER,198281,,,0,EA,,WISNU,B2-2,5,,,,,,,,,,0
CONSUMABLE PART,AIR FILTER,BA4108,,,0,EA,,WISNU,WISNU,17,,,,,,,,,,0
CONSUMABLE PART,AIR FILTER,BA6108,,,0,EA,,WISNU,WISNU,10,,,,,,,,,,0
CONSUMABLE PART,AIR FILTER,BA6108,,,0,EA,,WISNU,WISNU,21,,,,,,,,,,0
CONSUMABLE PART,AIR FILTER,BA6108,,,0,EA,,WISNU,WISNU,60,,,,,,,,,,0
CONSUMABLE PART,AIR FILTER ELEMENT,D9-18-1,,,0,EA,,WISNU,A1-2,9,,,,,,,,,,0
CONSUMABLE PART,AIR SCOOP RADIO COOLING,1470219-1,,,0,EA,,WISNU,D2-1,3,,,,,,,,,,0
CONSUMABLE PART,ALIGNMENT WASHER,MS-AW,,,0,EA,,WISNU,D3-10,50,,,,,,,,,,0
CONSUMABLE PART,ALLUMUNIUM FLARED TUBE PLUG,AN806-2D,,,0,EA,,WISNU,D3-2,10,,,,,,,,,,0
CONSUMABLE PART,ALLUMUNIUM FLARED TUBE PLUG,AN806-4D,,,0,EA,,WISNU,D3-2,10,,,,,,,,,,0
CONSUMABLE PART,ALODINE,MIL-DTL-81706B(594693),,,0,EA,,WISNU,F3,14,,,,,,,,,,0
CONSUMABLE PART,ALTERNATOR CONTROL UNIT,AC2101,,166101,0,EA,,WISNU,C3-1,1,,,,,,,,,,0
CONSUMABLE PART,ALTERNATOR CONTROL UNIT,AC2101,,F64919,0,EA,,WISNU,C4-2,1,,,,,,,,,,0
CONSUMABLE PART,AMPERES GAGE,2867768,,,0,EA,,WISNU,C3-1,0,,,,,,,,,,0
CONSUMABLE PART,ANCHOR,S1741-3,,,0,EA,,WISNU,A2-9,25,,,,,,,,,,0
CONSUMABLE PART,ANGLE,0713070-37,,,0,EA,,WISNU,D2-1,2,,,,,,,,,,0
CONSUMABLE PART,ANGLE 1/2 X 1/2,10133-0401,,,0,EA,,WISNU,D4,10,,,,,,,,,,0
CONSUMABLE PART,ANTENA,071-00221-0010,,18332,0,EA,,WISNU,E1,1,,,,,,,,,,0
CONSUMABLE PART,ANTENA,071-00221-0010,,18381,0,EA,,WISNU,E1,0,,,,,,,,,,0
CONSUMABLE PART,ANTENA,071-00221-0010,,18659,0,EA,,WISNU,E1,1,,,,,,,,,,0
CONSUMABLE PART,ANTENA,071-00221-0010,,18951,0,EA,,WISNU,E1,1,,,,,,,,,,0
CONSUMABLE PART,ANTENA COUFLER,CU-110,,8459,0,EA,,WISNU,C1-1,1,,,,,,,,,,0
CONSUMABLE PART,ANTENA SENSE ADF,AV-545,,,0,EA,,WISNU,E1,1,,,,,,,,,,0
CONSUMABLE PART,ANTENA VHF COM,CI-177,,,0,EA,,WISNU,E1,2,,,,,,,,,,0
CONSUMABLE PART,ANTENNA MARKER BEACON,AV-64,,,0,EA,,WISNU,A4-1,1,,,,,,,,,,0
CONSUMABLE PART,ANTI SIZE,15-04985,,,0,EA,,WISNU,C4-2,1,,,,,,,,,,0
CONSUMABLE PART,ARM AY DOOR,0711021-11,,,0,EA,,WISNU,B3-15,2,,,,,,,,,,0
CONSUMABLE PART,ARM LOCK,0717024-25,,,0,EA,,WISNU,D3-10,4,,,,,,,,,,0
CONSUMABLE PART,ARM REST,K2415003-1,,,0,EA,,WISNU,WISNU,1,,,,,,,,,,0
CONSUMABLE PART,ARM REST,K2415003-2,,,0,EA,,WISNU,WISNU,1,,,,,,,,,,0
CONSUMABLE PART,ARMREST,K2415009-3,,,0,EA,,WISNU,F,7,,,,,,,,,,0
CONSUMABLE PART,ARMREST,K2415009-4,,,0,EA,,WISNU,F,5,,,,,,,,,,0
CONSUMABLE PART,ATTITUDE DIGITALIZER,A-30,,131586,0,EA,,WISNU,C4-2,1,,,,,,,,,,0
CONSUMABLE PART,ATTITUDE ENCODER,ACK A-30,,127765,0,EA,,WISNU,C3-1,0,,,,,,,,,,0
CONSUMABLE PART,ATTITUDE ENCODER,ACK A-30,,136443,0,EA,,WISNU,C3-1,1,,,,,,,,,,0
CONSUMABLE PART,ATTITUDE MANAGEMENTS,8900,,1631,0,EA,,WISNU,G2,1,,,,,,,,,,0
CONSUMABLE PART,AUTOMATIC PRESURE ALTITUDE,C749001-0101,,53504-2,0,EA,,WISNU,E1,1,,,,,,,,,,0
CONSUMABLE PART,AVIONIC COOLING KIT,071-4037-00,,,0,EA,,WISNU,C4-2,1,,,,,,,,,,0
CONSUMABLE PART,AXLE LANDING GEAR,543003,,,0,EA,,WISNU,D2-4,2,,,,,,,,,,0
CONSUMABLE PART,AXLE LANDING GEAR,543003,,,0,EA,,WISNU,D3-4,3,,,,,,,,,,0
CONSUMABLE PART,AXLE MAIN LANDING GEAR,0541199-1,,,0,EA,,WISNU,D2-4,2,,,,,,,,,,0
CONSUMABLE PART,BAFFLE,86939-002,,,0,EA,,WISNU,G1,1,,,,,,,,,,0
CONSUMABLE PART,BAFFLE ASSY,86203-007,,,0,EA,,WISNU,G1,1,,,,,,,,,,0
CONSUMABLE PART,BAFFLE ASSY,86203-008,,,0,EA,,WISNU,G1,1,,,,,,,,,,0
CONSUMABLE PART,BAFFLE ASSY,86827-006,,,0,EA,,WISNU,G1,1,,,,,,,,,,0
CONSUMABLE PART,BAFFLE ASSY,86827-018,,,0,EA,,WISNU,G1,1,,,,,,,,,,0
CONSUMABLE PART,BAFFLE ASSY,86847-002,,,0,EA,,WISNU,G1,1,,,,,,,,,,0
CONSUMABLE PART,BAFFLE ASSY,86873-002,,,0,EA,,WISNU,G1,1,,,,,,,,,,0
CONSUMABLE PART,BAFFLE SEAL,JM106A,,,0,FT,,WISNU,WISNU,18,,,,,,,,,,0
CONSUMABLE PART,BAFFLE SEAL,VISR3640,,,0,FT,,WISNU,WISNU,0.57,,,,,,,,,,0
CONSUMABLE PART,BAFFLE SILICONE,05-00811,,,0,FEET,,WISNU,WISNU,-46.13,,,,,,,,,,0
CONSUMABLE PART,BAGGAGE,K0515015-1,,,0,EA,,WISNU,WISNU,1,,,,,,,,,,0
