DESCRIPTION;PART NUMBER;ALTERNATE P/N;SERIAL NUMBER;A/C TYPE;WAREHOUSE;LOCATION;CONDITION;QUANTITY
Transponder;066-01156-0101;;5907;ALL A/C;WISNU;E1;S/S;1
ADF ;066-1072-00;;12959;ALL A/C;WISNU;E1;S/S;1
Nav/comm KX155;069-1024-04;;45952;ALL A/C;WISNU;E1;S/S;1
Receiver R443B;42100-0000;;17422;ALL A/C;WISNU;E1;S/S;1
Converter KN-72;066-4009-00;;4952;ALL A/C;WISNU;E1;S/S;1
antena;071-00221-0010;;18381;ALL A/C;WISNU;E1;S/S;1
antena;071-00221-0010;;18332;ALL A/C;WISNU;E1;U/S;1
antena;071-00221-0010;;18951;ALL A/C;WISNU;E1;U/S;1
antena;071-00221-0010;;18659;ALL A/C;WISNU;E1;S/S;1
power suply;01-0770006-08;;9609;ALL A/C;WISNU;E1;S/S;1
