No.,DP#,Sent,Received,Description,P/N,S/N,Qty,Cond.,Warehouse,Aircraft,Remark,,,,,,,,
1,1692/DP/SPR/2016,8/15/2016,8/15/2016,GNS430,011-00280-10\,97127985,1,S/S,WISNU,,,,,,,,,,
2,1692/DP/SPR/2016,8/15/2016,8/15/2016,NAV/COM,MX385,3259,1,S/S,WISNU,,,,,,,,,,
3,1692/DP/SPR/2016,8/15/2016,8/15/2016,NAV/COMM KX155A,069-01032-0101,27045,1,S/S,WISNU,,,,,,,,,,
4,1692/DP/SPR/2016,8/15/2016,8/15/2016,NAV/COMM KX155A,069-01032-0101,26292,1,S/S,WISNU,,,,,,,,,,
5,1308/DP/SPR/2016,11/3/2016,11/3/2016,OIL COOLER,8406R/20002A,11548,1,S/S,WISNU,,,,,,,,,,
6,1303/DP/SPR/2016,11/26/2016,11/26/2016,LIFE VEST,102MK3,18839-11/086,1,S/S,WISNU,,,,,,,,,,
7,1303/DP/SPR/2016,11/26/2016,11/26/2016,LIFE VEST,P0723E105P,9111130009,1,S/S,WISNU,,,,,,,,,,
8,1302/DP/SPR/2016,10/20/2016,10/20/2016,DGI,RCA11A-15,412D099G,1,U/S,WISNU,,,,,,,,,,
9,1302/DP/SPR/2016,10/20/2016,10/20/2016,TRANSPONDER,066-01156-0101,4634,1,U/S,WISNU,,,,,,,,,,
10,1302/DP/SPR/2016,10/20/2016,10/20/2016,A/H,102-0071-03,212C041,1,U/S,WISNU,,,,,,,,,,
11,944/DP/SPR/2016,11/25/2016,11/25/2016,FIREX,FE-10P,,1,S/S,WISNU,,Isi ulang dari Bpk.Umar,,,,,,,,
12,943/DP/SPR/2016,11/25/2016,11/25/2016,A/H INDICATOR,102-007-03,210B044,1,U/S,WISNU,,,,,,,,,,
13,942/DP/SPR/2016,11/21/2016,11/21/2016,A/H INDICATOR,102-007-03,210B044,1,U/S,WISNU,,,,,,,,,,
14,942/DP/SPR/2016,11/21/2016,11/21/2016,ALTERNATOR,DOFF10300BR,H-M061890,1,S/S,WISNU,,,,,,,,,,
15,942/DP/SPR/2016,11/21/2016,11/21/2016,INTERCOM,SPA-400,66644,1,S/S,WISNU,,,,,,,,,,
16,942/DP/SPR/2016,11/21/2016,11/21/2016,INTERCOM,SPA-400,66908,1,S/S,WISNU,,,,,,,,,,
17,942/DP/SPR/2016,11/21/2016,11/21/2016,INTERCOM,SPA-400,6068105,1,S/S,WISNU,,,,,,,,,,
18,942/DP/SPR/2016,11/21/2016,11/21/2016,INTERCOM,SPA-400,6048393,1,S/S,WISNU,,,,,,,,,,
19,942/DP/SPR/2016,11/21/2016,11/21/2016,VOLTAGE REGULATOR,R25-400,T05281,1,S/S,WISNU,,,,,,,,,,
20,941/DP/SPR/2016,11/22/2016,11/22/2016,AIR BOX,0552164-4,,1,S/S,WISNU,,,,,,,,,,
21,941/DP/SPR/2016,11/22/2016,11/22/2016,CESSNA BAFFLE SET,C172P-BRK343150,,6,S/S,WISNU,,,,,,,,,,
22,934/DP/SPR/2016,10/26/2016,10/26/2016,DGI,RCA11A-15,412D099G,1,U/S,WISNU,,,,,,,,,,
23,934/DP/SPR/2016,10/26/2016,10/26/2016,TRANSPONDER,066-01156-0101,4634,1,U/S,WISNU,,,,,,,,,,
24,934/DP/SPR/2016,10/26/2016,10/26/2016,A/H,102-0071-03,212C041,1,U/S,WISNU,,,,,,,,,,
25,933/DP/SPR/2016,10/14/2016,10/14/2016,"RISER FORWARD,LH",W1754009-1,,1,U/S,WISNU,,,,,,,,,,
26,932/DP/SPR/2016,10/14/2016,10/14/2016,AIR BOX,0552164-4,,1,S/S,WISNU,,,,,,,,,,
