GROUP,DESCRIPTION,P/N,ALT P/N,S/N,MIN QTY,UNIT,CONDITION,WAREHOUSE,STORES,QTY,EXPIRED DATE,GRN NO,VENDOR,RECEIVED DATE,RECEIVED BY,ORDER NUMBER,REFERENCE NUMBER,AWB NUMBER,REMARK,UNIT VALUE
COP,BOLT,AN8-23A,,N/A,,EA,Serviceable,,D2-12,20,,1577/GRN/SPR/2016,AVION LOGISTICS,13-Dec-16,BOBBY,POM1141,INV/970012382,DHL#2247599200,,
REP,DME KN62A,066-1068-00,,14734,,EA,Serviceable,,E2,1,,1576/GRN/SPR/2016,HAWKER PACIFIC PTY LTD,13-Dec-16,BOBBY,WOM469,INV/114-027061,DHL#7889261564,,
REP,KN62A DME,066-1068-01,,18461,,EA,Serviceable,,E2,1,,1576/GRN/SPR/2016,HAWKER PACIFIC PTY LTD,13-Dec-16,BOBBY,WOM469,INV/114-027061,DHL#7889261564,,
REP,KN62A DME,066-1068-01,,26085,,EA,Serviceable,,E2,1,,1576/GRN/SPR/2016,HAWKER PACIFIC PTY LTD,13-Dec-16,BOBBY,WOM469,INV/114-027061,DHL#7889261564,,
REP,TRANSPONDER,066-01156-0101,,4634,,EA,Serviceable,,E2,1,,1576/GRN/SPR/2016,HAWKER PACIFIC PTY LTD,13-Dec-16,BOBBY,WOM469,INV/114-027061,DHL#7889261564,,
COP,RIVET BRAKE LINNING,06-02908,,N/A,,EA,Serviceable,,A3-14,200,,1575/GRN/SPR/2016,AIRCRAFT SPRUCE,13-Dec-16,BOBBY,POM1049,INV/582944,N/A,,
REP,CYLINDER HYDRAULIC NOSE,455-987,,3479,,EA,Serviceable,,G1,1,,1383/GRN/ME/2016,AVIALL PTE LTD,13-Dec-16,BOBBY,POM1133,INV/9304751654,DHL#9530471392,,
COP,"REPAIR KIT SEAL O,RING",199-538A,,N/A,,EA,Serviceable,,G2,4,,1383/GRN/ME/2016,AVIALL PTE LTD,13-Dec-16,BOBBY,POM1133,INV/9304751654,DHL#9530471392,,
COP,VALVE,492-303,,N/A,,EA,Serviceable,,G3,1,,1383/GRN/ME/2016,AVIALL PTE LTD,13-Dec-16,BOBBY,POM1133,INV/9304751654,DHL#9530471392,,
COP,CABIN DOOR HINGE PIN,0711001-59,,N/A,,EA,Serviceable,,D2-16,2,,1573/GRN/SPR/2016,YINGLING AVIATION,13-Dec-16,BOBBY,POM1145,INV/16-28315,DHL#4174648822,,
COP,CLAMP,AN73TW66,,N/A,,EA,Serviceable,,D2-5,10,,1573/GRN/SPR/2016,YINGLING AVIATION,13-Dec-16,BOBBY,POM1145,INV/16-28315,DHL#4174648822,,
COP,HINGE,0511237-2,,N/A,,EA,Serviceable,,D2-16,2,,1573/GRN/SPR/2016,YINGLING AVIATION,13-Dec-16,BOBBY,POM1145,INV/16-28315,DHL#4174648822,,
COP,HINGE AY,0511238-2,,N/A,,EA,Serviceable,,D2-16,2,,1573/GRN/SPR/2016,YINGLING AVIATION,13-Dec-16,BOBBY,POM1145,INV/16-28315,DHL#4174648822,,
REP,SHROUD CARB HEAT,0554006-1,,N/A,,EA,Serviceable,,A4-1,1,,1573/GRN/SPR/2016,YINGLING AVIATION,13-Dec-16,BOBBY,POM1145,INV/16-28315,DHL#4174648822,,
COP,BOLT,AN4H13A,,N/A,,EA,Serviceable,,A3-5,10,,1572/GRN/SPR/2016,AIRFLITE AUSTRALIA PTY. LTD,13-Dec-16,BOBBY,POM1140,INV/ARI023935,DHL#9946837924,,
COP,NUT,MS20365-720C,,N/A,,EA,Serviceable,,A3-1,100,,1572/GRN/SPR/2016,AIRFLITE AUSTRALIA PTY. LTD,13-Dec-16,BOBBY,POM1140,INV/ARI23935,DHL#9946837924,,
