No.,SD#,Date,Description,Part Number,Serial Number,Item Condition,Unit Value,Qty,Unit,Total,Origin,Destination,Remark
1,2174/SD/SPR/2016,5-Oct-16,CYLINDER ASSY,05K21100,N/A,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
2,2174/SD/SPR/2016,5-Oct-16,MAGNETO,4371,16030357,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
3,2351/SD/ME/2016,16-Sep-16,WHELLEN LED TAXI LIGHT 14V(S/C),01-0771833-25,N/A,Serviceable,1,1,EA,1,WISNU,SOLO,
4,2174/SD/SPR/2016,26-Nov-16,SPARK PLUG,REM40E,N/A,Serviceable,1,12,EA,12,WISNU,BANYUWANGI,
5,2174/SD/SPR/2016,26-Nov-16,HANDLE BRAKE,0813150-75,N/A,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
6,2174/SD/SPR/2016,26-Nov-16,HUB,40-113,N/A,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
7,2174/SD/SPR/2016,26-Nov-16,BOLT,NAS464P7LA44,N/A,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
8,2174/SD/SPR/2016,26-Nov-16,AXLE MAIN LANDING GEAR,0541199-1,N/A,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
9,2174/SD/SPR/2016,26-Nov-16,BLEEDER SCREW,079-00300,N/A,Serviceable,1,2,EA,2,WISNU,BANYUWANGI,
10,2174/SD/SPR/2016,26-Nov-16,WASHER,NAS1149F0763P,N/A,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
11,2174/SD/SPR/2016,26-Nov-16,NUT,MS20365-720C,N/A,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
12,2174/SD/SPR/2016,24-Nov-16,HINGE AY,0511238-1,N/A,Serviceable,1,1,EA,1,WISNU,SOLO,
13,2174/SD/SPR/2017,24-Nov-16,HINGE HALF ASSY (LH),2417003-1,N/A,Serviceable,1,1,EA,1,WISNU,SOLO,
14,2174/SD/SPR/2018,24-Nov-16,RIVET,S2906-4-3,N/A,Serviceable,1,20,EA,20,WISNU,SOLO,
15,2174/SD/SPR/2019,24-Nov-16,CHERRY RIVET,CR3213-4-4,N/A,Serviceable,1,30,EA,30,WISNU,SOLO,
16,2174/SD/SPR/2020,23-Nov-16,OIL ENGINE,ASW100+,N/A,Serviceable,1,120,LITER,120,WISNU,LOMBOK,
17,2174/SD/SPR/2021,29-Nov-16,CESSNA CONVERTION KIT,MSC172-40PFW,N/A,Serviceable,1,1,EA,1,WISNU,LOMBOK,
18,2174/SD/SPR/2022,29-Nov-16,GYRO HORIZON,RCA22-11,215L352,Serviceable,1,1,EA,1,WISNU,LOMBOK,
19,2174/SD/SPR/2023,29-Nov-16,AIR FILTER,BA6108,N/A,Serviceable,1,10,EA,10,WISNU,LOMBOK,
20,2174/SD/SPR/2024,29-Nov-16,HARNESS SEAT BELT,SK170-12C1,N/A,Serviceable,1,2,EA,2,WISNU,LOMBOK,
21,2174/SD/SPR/2025,29-Nov-16,LAMP,4596,N/A,Serviceable,1,6,EA,6,WISNU,LOMBOK,
22,2174/SD/SPR/2026,29-Nov-16,OIL FILTER,CH48110-1,N/A,Serviceable,1,12,EA,12,WISNU,LOMBOK,
