GROUP,DESCRIPTION,P/N,ALT P/N,S/N,MIN QTY,UNIT,CONDITION,WAREHOUSE,STORES,QTY,EXPIRED DATE,GRN NO,VENDOR,RECEIVED DATE,RECEIVED BY,ORDER NUMBER,REFERENCE NUMBER,AWB NUMBER,REMARK,UNIT VALUE
Consumable Part,"""O"" RING",M83248/1-012,N/A,,,,,,,,,,,,,,,,,
Consumable Part,1/4 RMG TERMINAL / RED,320559,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ABSOLUTE RELIEF VALVE,LW16265-1,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ACTUATOR AY,1260074-1,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ADAPTER,0770641-4,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ADAPTER,05-06924,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ADAPTER,S3014-2-4,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ADAPTER,1213158-3,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ADAPTER AY,0700325-2,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ADAPTER CHARGER,AD-101,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ADAPTER VENT TUBE,CW-172001,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ADAPTER/CLAMP,MS3057-4A,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ADAPTOR MAGNETO,8767,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ADROX,ADROX6025,N/A,,,, ,,,,,,,,,,,,,
Consumable Part,ADROX,6025,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ADROX CORROSION,AV-5,N/A,,,,,,,,,,,,,,,,,
Consumable Part,AERO FLASH STROBE 24V,156-0004,N/A,,,,,,,,,,,,,,,,,
Consumable Part,AERODUR PRIMER,S15/90,N/A,,,,,,,,,,,,,,,,,
Consumable Part,AERODUR WHITE,C21/100UVR BAC 7067,N/A,,,,,,,,,,,,,,,,,
Consumable Part,AFT SIDE WINDOW,P6515027-22,N/A,,,,,,,,,,,,,,,,,
Consumable Part,AFT SIDE WINDOW,P6515027-21,N/A,,,,,,,,,,,,,,,,,
Consumable Part,AIR BOX,0552164-4,N/A,,,,,,,,,,,,,,,,,
Consumable Part,AIR FILTER,BA6108,N/A,,,,,,,,,,,,,,,,,
Consumable Part,AIR FILTER,BA4108,N/A,,,,,,,,,,,,,,,,,
Consumable Part,AIR FILTER,198281,N/A,,,,,,,,,,,,,,,,,
Consumable Part,AIR FILTER ELEMENT,D9-18-1,N/A,,,,,,,,,,,,,,,,,
Consumable Part,AIR SCOOP RADIO COOLING,1470219-1,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ALIGNMENT WASHER,MS-AW,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ALLUMUNIUM FLARED TUBE PLUG,AN806-2D,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ALLUMUNIUM FLARED TUBE PLUG,AN806-4D,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ALODINE,MIL-DTL-81706B(594693),N/A,,,,,,,,,,,,,,,,,
Consumable Part,ALTERNATOR CONTROL UNIT,AC2101,N/A,,,,,,,,,,,,,,,,,
Consumable Part,AMPERES GAGE,2867768,N/A,,,,,,,,,,,,,,,,,
Consumable Part,AMPLY DYNAMIC MIC,12948G-01,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ANCHOR,S1741-3,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ANGLE,0713070-37,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ANGLE 1/2 X 1/2,10133-0401,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ANTENA,071-00221-0010,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ANTENA COUFLER,CU-110,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ANTENA SENSE ADF,AV-545,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ANTENA VHF COM,CI-177,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ANTENA VOR/LOC/GS,C598504-0101,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ANTENNA MARKER BEACON,AV-64,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ANTI SIZE,15-04985,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ARM AY DOOR,0711021-11,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ARM LOCK,0717024-25,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ARM REST,K2415003-2,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ARM REST,K2415003-1,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ARMREST,K2415009-3,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ARMREST,K2415009-4,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ATTITUDE DIGITALIZER,A-30,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ATTITUDE ENCODER,ACK A-30,N/A,,,,,,,,,,,,,,,,,
Consumable Part,ATTITUDE MANAGEMENTS,8900,N/A,,,,,,,,,,,,,,,,,
Consumable Part,AUTOMATIC PRESURE ALTITUDE,C749001-0101,N/A,,,,,,,,,,,,,,,,,
Consumable Part,AVIONIC COOLING KIT,071-4037-00,N/A,,,,,,,,,,,,,,,,,
Consumable Part,AXLE LANDING GEAR,543003,N/A,,,,,,,,,,,,,,,,,
Consumable Part,AXLE LANDING GEAR,543003,N/A,,,,,,,,,,,,,,,,,
Consumable Part,AXLE MAIN LANDING GEAR,0541199-1,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BAFFLE,86939-002,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BAFFLE ASSY,86873-002,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BAFFLE ASSY,86203-007,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BAFFLE ASSY,86827-018,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BAFFLE ASSY,86203-008,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BAFFLE ASSY,86847-002,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BAFFLE ASSY,86827-006,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BAFFLE SEAL,JM106A,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BAFFLE SEAL,VISR3640,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BAFFLE SILICONE,05-00811,05-00811,,,,,,,,,,,,,,,,,
Consumable Part,BAGGAGE,K0515015-1,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BATTERAY 12 V,G 35,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BATTERY,G243 D,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BATTERY,G243,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BATTERY,CR123A,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BATTERY,G243D,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BATTERY CONTACTOR,S1580-1,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BATTERY ELT 406,452-6499,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BATTERY RELLAY,S2475-2,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BEARING,LM67048-20629,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BEARING,LM29749-20629,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BEARING,S1675-1,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BEARING,LM-19749,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BEARING,214-00400,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BEARING,S1003-29A,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BEARING,214-03300,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BEARING,214-01400,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BEARING,13889-2069,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BEARING,08125-20629,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BEARING,8125,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BEARING,13889-20629,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BEARING,S1674-1,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BEARING AIR BOX,05-04443,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BEARING ROD END,432-606,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BELLCRANK,411563,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BELT,378KY,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BELT ALTERNATOR,3719773-382,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BELT ALTERNATOR,37A19773-376,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BELT ALTERNATOR,378K4,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BELT ALTERNATOR,S1597-1-37.5,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BLEEDER CAP,183-00100,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BLEEDER SCREW,079-00300,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BLEEDER SEAT,081-00100,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BLLCRANK AY,0514030-4,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BNC FEMALE,31-208RFX,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BNC MALE,225395-1,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BOARD AY TERMINAL,0570315-1,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BOLT,AN7-47,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BOLT,AN4-31,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BOLT,NAS6604D17,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BOLT,103-11600,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BOLT,AN4-21A,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BOLT,S2323-5,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BOLT,AN4-36A,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BOLT,AN8-21A,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BOLT,691-334,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BOLT,AN5-25A,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BOLT,AN4-22A,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BOLT,103-11700,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BOLT,AN3-11A,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BOLT,103-14300,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BOLT,AN4-7A,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BOLT,AN3-4A,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BOLT,AN175-22A,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BOLT,AN3-5A,N/A,,,,,,,,,,,,,,,,,
Consumable Part,BOLT,AN3-10A,N/A,,,,,,,,,,,,,,,,,
