"No.","Unit","Description","Last Update"
"1","ASSY","","August 22, 2016"
"2","CAN","","November 18, 2016"
"3","CM","","August 05, 2016"
"4","EA","each","July 31, 2016"
"5","FEET","","August 22, 2016"
"6","FT","","August 01, 2016"
"7","GLN","","August 22, 2016"
"8","KG","","August 22, 2016"
"9","KIT","","August 22, 2016"
"10","KITS","","October 25, 2016"
"11","LBS","","August 05, 2016"
"12","LITER","","August 01, 2016"
"13","LTR","","August 05, 2016"
"14","MTR","","August 05, 2016"
"15","PACK","","November 29, 2016"
"16","PAIL","","August 01, 2016"
"17","PAIR","","August 05, 2016"
"18","QTS","","August 05, 2016"
"19","ROL","","August 05, 2016"
"20","ROLL","","August 22, 2016"
"21","SET","","August 05, 2016"
"","Unit","Description","Last Update"
