GROUP;DESCRIPTION;P/N;ALT P/N;S/N;MIN QTY;UNIT;CONDITION;WAREHOUSE;STORES;QTY;EXPIRED DATE;GRN NO;VENDOR;RECEIVED DATE;RECEIVED BY;ORDER NUMBER;REFERENCE NUMBER;AWB NUMBER;REMARK;UNIT VALUE
Consumable Part;BOLT;AN8-23A;;;;EA;S/S;WISNU;D2-12;20;;1577/GRN/SPR/2016;AVION LOGISTICS;2016-12-13;BOBBY;POM1141;INV/970012382;DHL#2247599200;;
Repairable Part;DME KN62A;066-1068-00;;14734;;EA;S/S;WISNU;E2;1;;1576/GRN/SPR/2016;HAWKER PACIFIC PTY LTD;2016-12-13;BOBBY;WOM469;INV/114-027061;DHL#7889261564;;
Repairable Part;KN62A DME;066-1068-01;;18461;;EA;S/S;WISNU;E2;1;;1576/GRN/SPR/2016;HAWKER PACIFIC PTY LTD;2016-12-13;BOBBY;WOM469;INV/114-027061;DHL#7889261564;;
Repairable Part;KN62A DME;066-1068-01;;26085;;EA;S/S;WISNU;E2;1;;1576/GRN/SPR/2016;HAWKER PACIFIC PTY LTD;2016-12-13;BOBBY;WOM469;INV/114-027061;DHL#7889261564;;
Repairable Part;TRANSPONDER;066-01156-0101;;4634;;EA;S/S;WISNU;E2;1;;1576/GRN/SPR/2016;HAWKER PACIFIC PTY LTD;2016-12-13;BOBBY;WOM469;INV/114-027061;DHL#7889261564;;
Consumable Part;RIVET BRAKE LINNING;06-02908;;;;EA;S/S;WISNU;A3-14;200;;1575/GRN/SPR/2016;AIRCRAFT SPRUCE;2016-12-13;BOBBY;POM1049;INV/582944;;;
Repairable Part;CYLINDER HYDRAULIC NOSE;455-987;;3479;;EA;S/S;WISNU;G1;1;;1383/GRN/ME/2016;AVIALL PTE LTD;2016-12-13;BOBBY;POM1133;INV/9304751654;DHL#9530471392;;
Consumable Part;Repairable PartAIR KIT SEAL O,RING;199-538A;;;;EA;S/S;WISNU;G2;4;;1383/GRN/ME/2016;AVIALL PTE LTD;2016-12-13;BOBBY;POM1133;INV/9304751654;DHL#9530471392;;
Consumable Part;VALVE;492-303;;;;EA;S/S;WISNU;G3;1;;1383/GRN/ME/2016;AVIALL PTE LTD;2016-12-13;BOBBY;POM1133;INV/9304751654;DHL#9530471392;;
Consumable Part;CABIN DOOR HINGE PIN;0711001-59;;;;EA;S/S;WISNU;D2-16;2;;1573/GRN/SPR/2016;YINGLING AVIATION;2016-12-13;BOBBY;POM1145;INV/16-28315;DHL#4174648822;;
Consumable Part;CLAMP;AN73TW66;;;;EA;S/S;WISNU;D2-5;10;;1573/GRN/SPR/2016;YINGLING AVIATION;2016-12-13;BOBBY;POM1145;INV/16-28315;DHL#4174648822;;
Consumable Part;HINGE;0511237-2;;;;EA;S/S;WISNU;D2-16;2;;1573/GRN/SPR/2016;YINGLING AVIATION;2016-12-13;BOBBY;POM1145;INV/16-28315;DHL#4174648822;;
Consumable Part;HINGE AY;0511238-2;;;;EA;S/S;WISNU;D2-16;2;;1573/GRN/SPR/2016;YINGLING AVIATION;2016-12-13;BOBBY;POM1145;INV/16-28315;DHL#4174648822;;
Repairable Part;SHROUD CARB HEAT;0554006-1;;;;EA;S/S;WISNU;A4-1;1;;1573/GRN/SPR/2016;YINGLING AVIATION;2016-12-13;BOBBY;POM1145;INV/16-28315;DHL#4174648822;;
Consumable Part;BOLT;AN4H13A;;;;EA;S/S;WISNU;A3-5;10;;1572/GRN/SPR/2016;AIRFLITE AUSTRALIA PTY. LTD;2016-12-13;BOBBY;POM1140;INV/ARI023935;DHL#9946837924;;
Consumable Part;NUT;MS20365-720C;;;;EA;S/S;WISNU;A3-1;100;;1572/GRN/SPR/2016;AIRFLITE AUSTRALIA PTY. LTD;2016-12-13;BOBBY;POM1140;INV/ARI23935;DHL#9946837924;;
Consumable Part;SWITCH PTT;S2870-1;;;;EA;S/S;WISNU;A2-4;2;;1572/GRN/SPR/2016;AIRFLITE AUSTRALIA PTY. LTD;2016-12-13;BOBBY;POM1140;INV/ARI023819;DHL#9946837924;;
Consumable Part;VALVE;492-303;;;;EA;S/S;WISNU;G3;1;;1383/GRN/ME/2016;AVIALL PTE LTD;2016-12-03;BOBBY;POM1133;8003840216;9530471392;;
Consumable Part;OIL COOLER;8406R/20002A;;5050;;EA;S/S;WISNU;A5-2;1;;1570/GRN/SPR/2016;AUSTRALIAN AVIONICS;2016-12-02;BOBBY;WOM470;114-026912;1002422256;;
Consumable Part;CARBURETOR HEAT Repairable PartAIR KIT;CCH-KT-2;;;;KIT;S/S;WISNU;D4;4;;1569/GRN/SPR/2016;;2016-12-02;BOBBY;POM1125;0266194-IN;4333098475;;
Repairable Part;A/H;102-0071-03;;212C041;;EA;S/S;WISNU;C3-2;1;;1568/GRN/SPR/2016;;2016-12-02;BOBBY;WOM405 (WARRANTY);18990;3090167640;;
Repairable Part;DGI;RCA11A-15;;412D099G;;EA;S/S;WISNU;C3-2;1;;1568/GRN/SPR/2016;;2016-12-02;BOBBY;WOM405 (WARRANTY);18990;3090167640;;
Repairable Part;HYDRAULIC PUM;636294;;21371JY;;EA;S/S;WISNU;G2;1;;1383/GRN/ME/2016;;2016-12-02;BOBBY;POM1132;16-017214;1111370234;;
Consumable Part;NUT;MS21042-5;;;;EA;S/S;WISNU;A3-3;26;;1567/GRN/SPR/2016;;2016-12-02;BOBBY;POM1134;16-017214;1111370234;;
Consumable Part;EARPHONE;10376G-20;;;;EA;S/S;WISNU;C2-1;2;;1566/GRN/SPR/2016;AVIALL PTE LTD;2016-11-29;BOBBY;POM1142;INV/9304737744;DHL#5953343561;;
Consumable Part;RETAINING RING;00009M03;;;;PACK;S/S;WISNU;C2-6;20;;1566/GRN/SPR/2016;AVIALL PTE LTD;2016-11-29;BOBBY;POM1142;INV/9304737744;DHL#5953343561;;
Consumable Part;IGNITION SWTICH;C292501-0109;;;;EA;S/S;WISNU;A2-4;2;;1565/GRN/SPR/2016;AVION LOGISTICS;2016-11-29;BOBBY;POM1134;INV/970012356;DHL#3318462825;;
Consumable Part;NUT;MS21042-5;;;;EA;S/S;WISNU;A3-3;25;;1565/GRN/SPR/2016;AVION LOGISTICS;2016-11-29;BOBBY;POM1134;INV/970012356;DHL#3318462825;;
Consumable Part;ROD;86262-008;;;;EA;S/S;WISNU;G2;2;;1383/GRN/ME/2016;AVION LOGISTICS;2016-11-29;BOBBY;POM1135;INV/970012357;DHL#3318462825;;
Consumable Part;ROD END ASSY;89307-000;;;;EA;S/S;WISNU;G3;4;;1383/GRN/ME/2016;AVION LOGISTICS;2016-11-29;BOBBY;POM1135;INV/970012357;DHL#3318462825;;
Repairable Part;LIFE VEST;P0723E105P;;9111130009;;EA;S/S;WISNU;B1-1;1;;1564/GRN/SPR/2016;;2016-11-26;BOBBY;;;;;
Repairable Part;LIFE VEST;102MK3;;18839-11/086;;EA;S/S;WISNU;B1-1;1;;1564/GRN/SPR/2016;;2016-11-26;BOBBY;;;;;
Repairable Part;FIREX;FE-10P;;;;EA;S/S;WISNU;F4;1;;1563/GRN/SPR/2016;;2016-11-25;BOBBY;;;;;
Consumable Part;BOLT;AN175-22A;;;;EA;S/S;WISNU;G1;20;;1383/GRN/ME/2016;AVIALL PTE LTD;2016-11-25;BOBBY;POM1133;INV/9304698602;DHL#9483441671;;
Consumable Part;VALVE;492-303;;;;EA;S/S;WISNU;G3;1;;1383/GRN/ME/2016;AVIALL PTE LTD;2016-11-25;BOBBY;POM1133;INV/9304698602;DHL#9483441671;;
Consumable Part;WASHER;NAS1149F0532P;;;;EA;S/S;WISNU;G3;200;;1562/GRN/SPR/2016;AVIALL PTE LTD;2016-11-25;BOBBY;POM1133;INV/9304698602;DHL#9483441671;;
Consumable Part;ROD ASSY;62764-800;;;;EA;S/S;WISNU;G1;2;;1383/GRN/ME/2016;AVIALL PTE LTD;2016-11-25;BOBBY;POM1129;INV/9304733812;DHL#1867146245;;
Consumable Part;VOLTAGE REGULATOR;R25-400;;T05281;;EA;S/S;WISNU;E4;1;;1560/GRN/SPR/2016;;2016-11-22;BOBBY;;;;;
Repairable Part;AIR BOX;0552164-4;;;;EA;S/S;WISNU;D1;1;;1559/GRN/SPR/2016;;2016-11-22;BOBBY;;;;;
Consumable Part;CESSNA BAFFLE SET;C172P-BRK343150;;;;EA;S/S;WISNU;H1-4;6;;1559/GRN/SPR/2016;;2016-11-22;BOBBY;;;;;
Repairable Part;A/H INDICATOR;102-007-03;;210B044;;EA;U/S;WISNU;C3-2;1;;1558/GRN/SPR/2016;;2016-11-22;BOBBY;;;;;
Rotable Part;ALTERNATOR;DOFF10300BR;;H-M061890;;EA;S/S;WISNU;D4;1;;1558/GRN/SPR/2016;;2016-11-22;BOBBY;;;;;
Repairable Part;INTERCOM;SPA-400;;66644;;EA;S/S;WISNU;C3-1;1;;1558/GRN/SPR/2016;;2016-11-22;BOBBY;;;;;
Repairable Part;INTERCOM;SPA-400;;6048393;;EA;S/S;WISNU;C3-1;1;;1558/GRN/SPR/2016;;2016-11-22;BOBBY;;;;;
Repairable Part;INTERCOM;SPA-400;;6068105;;EA;S/S;WISNU;C3-1;1;;1558/GRN/SPR/2016;;2016-11-22;BOBBY;;;;;
Repairable Part;INTERCOM;SPA-400;;66908;;EA;S/S;WISNU;C3-1;1;;1558/GRN/SPR/2016;;2016-11-22;BOBBY;;;;;
Consumable Part;BOLT;AN7-45A;;;;EA;S/S;WISNU;A3-13;10;;1557/GRN/SPR/2016;AVION LOGISTICS;2016-11-18;BOBBY;POM1116;INV/970012294;DHL#5067771306;;
Consumable Part;CABLE;11-05651 FT;;;;FEET;S/S;WISNU;H4-2;100;;1557/GRN/SPR/2016;AVION LOGISTICS;2016-11-18;BOBBY;POM1109;INV/970012293;DHL#5067771306;;
Consumable Part;CIRCUIT BREAKER;11-08398;;;;EA;S/S;WISNU;A2-4;3;;1557/GRN/SPR/2016;AVION LOGISTICS;2016-11-18;BOBBY;POM1131;INV/970012292;DHL#5067771306;;
Consumable Part;MOUNT HYDROULIC;96902-000;;;;EA;S/S;WISNU;G2;1;;1383/GRN/ME/2016;HAWKER PACIFIC PTY LTD;2016-11-18;BOBBY;POM1131;INV/149831;DHL#2804506751;;
Consumable Part;ADROX;6025;;;;PAIL;S/S;WISNU;FLAMABLE ROOM;1;;1555/GRN/SPR/2016;LUBRINDO JAYA;2016-11-18;BOBBY;POM1127;DN/16-11-1096;;;
