GROUP;DESCRIPTION;P/N;ALT P/N;S/N;MIN QTY;UNIT;CONDITION;WAREHOUSE;STORES;QTY;EXPIRED DATE;GRN NO;VENDOR;RECEIVED DATE;RECEIVED BY;ORDER NUMBER;REFERENCE NUMBER;AWB NUMBER;REMARK;UNIT VALUE
Consumable Part;"""O"" RING";M83248/1-012;;N/A;;;;WISNU;D2-11;147;;;;;;;;;;
Consumable Part;1/4 RMG TERMINAL / RED;320559;;N/A;;;;WISNU;D3-5;50;;;;;;;;;;
Consumable Part;1/4 RMG TERMINAL / RED;320559;;N/A;;;;WISNU;D3-5;50;;;;;;;;;;
Consumable Part;ABSOLUTE RELIEF VALVE;LW16265-1;;H-RJN00159;;;;WISNU;G4;1;;;;;;;;;;
Consumable Part;ACTUATOR AY;1260074-1;;N/A;;;;WISNU;A2-5;2;;;;;;;;;;
Consumable Part;ADAPTER;05-06924;;N/A;;;;WISNU;A3-9;6;;;;;;;;;;
Consumable Part;ADAPTER;0770641-4;;N/A;;;;WISNU;A2-9;5;;;;;;;;;;
Consumable Part;ADAPTER;1213158-3;;N/A;;;;WISNU;D2-11;4;;;;;;;;;;
Consumable Part;ADAPTER;S3014-2-4;;N/A;;;;WISNU;A3-9;9;;;;;;;;;;
Consumable Part;ADAPTER AY;0700325-2;;N/A;;;;WISNU;D2-9;3;;;;;;;;;;
Consumable Part;ADAPTER CHARGER;AD-101;;N/A;;;;WISNU;E2;2;;;;;;;;;;
Consumable Part;ADAPTER VENT TUBE;CW-172001;;N/A;;;;WISNU;A3-9;6;;;;;;;;;;
Consumable Part;ADAPTER/CLAMP;MS3057-4A;;N/A;;;;WISNU;A3-18;27;;;;;;;;;;
Consumable Part;ADAPTOR MAGNETO;8767;;N/A;;;;WISNU;G3;18;;;;;;;;;;
Consumable Part;ADROX;6025;;N/A;;;;WISNU;FLAMABLE ROOM;1;;;;;;;;;;
Consumable Part;ADROX;ADROX6025;;N/A;;;;WISNU;FLAMABLE ROOM;13;;;;;;;;;;
Consumable Part;ADROX CORROSION;AV-5;;N/A;;;;WISNU;D1;2;;;;;;;;;;
Consumable Part;AERO FLASH STROBE 24V;156-0004;;N/A;;;;WISNU;C4-2;1;;;;;;;;;;
Consumable Part;AERODUR PRIMER;S15/90;;N/A;;;;WISNU;CONTAINER;1;;;;;;;;;;
Consumable Part;AERODUR WHITE;C21/100UVR BAC 7067;;N/A;;;;WISNU;CONTAINER;2;;;;;;;;;;
Consumable Part;AFT SIDE WINDOW;P6515027-21;;N/A;;;;WISNU;B4-1;3;;;;;;;;;;
Consumable Part;AFT SIDE WINDOW;P6515027-22;;N/A;;;;WISNU;B4-1;1;;;;;;;;;;
Consumable Part;AIR BOX;0552164-4;;N/A;;;;WISNU;D1;0;;;;;;;;;;
Consumable Part;AIR BOX;0552164-4;;N/A;;;;WISNU;D1;0;;;;;;;;;;
Consumable Part;AIR BOX;0552164-4;;N/A;;;;WISNU;D1;0;;;;;;;;;;
Consumable Part;AIR FILTER;198281;;N/A;;;;WISNU;B2-2;5;;;;;;;;;;
Consumable Part;AIR FILTER;BA4108;;N/A;;;;WISNU;WISNU;17;;;;;;;;;;
Consumable Part;AIR FILTER;BA6108;;N/A;;;;WISNU;WISNU;10;;;;;;;;;;
Consumable Part;AIR FILTER;BA6108;;N/A;;;;WISNU;WISNU;21;;;;;;;;;;
Consumable Part;AIR FILTER;BA6108;;N/A;;;;WISNU;WISNU;60;;;;;;;;;;
Consumable Part;AIR FILTER ELEMENT;D9-18-1;;N/A;;;;WISNU;A1-2;9;;;;;;;;;;
Consumable Part;AIR SCOOP RADIO COOLING;1470219-1;;N/A;;;;WISNU;D2-1;3;;;;;;;;;;
Consumable Part;ALIGNMENT WASHER;MS-AW;;N/A;;;;WISNU;D3-10;50;;;;;;;;;;
Consumable Part;ALLUMUNIUM FLARED TUBE PLUG;AN806-2D;;N/A;;;;WISNU;D3-2;10;;;;;;;;;;
Consumable Part;ALLUMUNIUM FLARED TUBE PLUG;AN806-4D;;N/A;;;;WISNU;D3-2;10;;;;;;;;;;
Consumable Part;ALODINE;MIL-DTL-81706B(594693);;N/A;;;;WISNU;F3;14;;;;;;;;;;
Consumable Part;ALTERNATOR CONTROL UNIT;AC2101;;166101;;;;WISNU;C3-1;1;;;;;;;;;;
Consumable Part;ALTERNATOR CONTROL UNIT;AC2101;;F64919;;;;WISNU;C4-2;1;;;;;;;;;;
Consumable Part;AMPERES GAGE;2867768;;N/A;;;;WISNU;C3-1;0;;;;;;;;;;
Consumable Part;ANCHOR;S1741-3;;N/A;;;;WISNU;A2-9;25;;;;;;;;;;
Consumable Part;ANGLE;0713070-37;;N/A;;;;WISNU;D2-1;2;;;;;;;;;;
Consumable Part;ANGLE 1/2 X 1/2;10133-0401;;N/A;;;;WISNU;D4;10;;;;;;;;;;
Consumable Part;ANTENA;071-00221-0010;;18332;;;;WISNU;E1;1;;;;;;;;;;
Consumable Part;ANTENA;071-00221-0010;;18381;;;;WISNU;E1;0;;;;;;;;;;
Consumable Part;ANTENA;071-00221-0010;;18659;;;;WISNU;E1;1;;;;;;;;;;
Consumable Part;ANTENA;071-00221-0010;;18951;;;;WISNU;E1;1;;;;;;;;;;
Consumable Part;ANTENA COUFLER;CU-110;;8459;;;;WISNU;C1-1;1;;;;;;;;;;
Consumable Part;ANTENA SENSE ADF;AV-545;;N/A;;;;WISNU;E1;1;;;;;;;;;;
Consumable Part;ANTENA VHF COM;CI-177;;N/A;;;;WISNU;E1;2;;;;;;;;;;
Consumable Part;ANTENNA MARKER BEACON;AV-64;;N/A;;;;WISNU;A4-1;1;;;;;;;;;;
Consumable Part;ANTI SIZE;15-04985;;N/A;;;;WISNU;C4-2;1;;;;;;;;;;
Consumable Part;ARM AY DOOR;0711021-11;;N/A;;;;WISNU;B3-15;2;;;;;;;;;;
Consumable Part;ARM LOCK;0717024-25;;N/A;;;;WISNU;D3-10;4;;;;;;;;;;
Consumable Part;ARM REST;K2415003-1;;N/A;;;;WISNU;WISNU;1;;;;;;;;;;
Consumable Part;ARM REST;K2415003-2;;N/A;;;;WISNU;WISNU;1;;;;;;;;;;
Consumable Part;ARMREST;K2415009-3;;N/A;;;;WISNU;F;7;;;;;;;;;;
Consumable Part;ARMREST;K2415009-4;;N/A;;;;WISNU;F;5;;;;;;;;;;
Consumable Part;ATTITUDE DIGITALIZER;A-30;;131586;;;;WISNU;C4-2;1;;;;;;;;;;
Consumable Part;ATTITUDE ENCODER;ACK A-30;;127765;;;;WISNU;C3-1;0;;;;;;;;;;
Consumable Part;ATTITUDE ENCODER;ACK A-30;;136443;;;;WISNU;C3-1;1;;;;;;;;;;
Consumable Part;ATTITUDE MANAGEMENTS;8900;;1631;;;;WISNU;G2;1;;;;;;;;;;
Consumable Part;AUTOMATIC PRESURE ALTITUDE;C749001-0101;;53504-2;;;;WISNU;E1;1;;;;;;;;;;
Consumable Part;AVIONIC COOLING KIT;071-4037-00;;N/A;;;;WISNU;C4-2;1;;;;;;;;;;
Consumable Part;AXLE LANDING GEAR;543003;;N/A;;;;WISNU;D2-4;2;;;;;;;;;;
Consumable Part;AXLE LANDING GEAR;543003;;N/A;;;;WISNU;D3-4;3;;;;;;;;;;
Consumable Part;AXLE MAIN LANDING GEAR;0541199-1;;N/A;;;;WISNU;D2-4;2;;;;;;;;;;
Consumable Part;BAFFLE;86939-002;;N/A;;;;WISNU;G1;1;;;;;;;;;;
Consumable Part;BAFFLE ASSY;86203-007;;N/A;;;;WISNU;G1;1;;;;;;;;;;
Consumable Part;BAFFLE ASSY;86203-008;;N/A;;;;WISNU;G1;1;;;;;;;;;;
Consumable Part;BAFFLE ASSY;86827-006;;N/A;;;;WISNU;G1;1;;;;;;;;;;
Consumable Part;BAFFLE ASSY;86827-018;;N/A;;;;WISNU;G1;1;;;;;;;;;;
Consumable Part;BAFFLE ASSY;86847-002;;N/A;;;;WISNU;G1;1;;;;;;;;;;
Consumable Part;BAFFLE ASSY;86873-002;;N/A;;;;WISNU;G1;1;;;;;;;;;;
Consumable Part;BAFFLE SEAL;JM106A;;N/A;;;;WISNU;WISNU;18;;;;;;;;;;
Consumable Part;BAFFLE SEAL;VISR3640;;N/A;;;;WISNU;WISNU;0.57;;;;;;;;;;
Consumable Part;BAFFLE SILICONE;05-00811;;N/A;;;;WISNU;WISNU;-46.13;;;;;;;;;;
Consumable Part;BAGGAGE;K0515015-1;;N/A;;;;WISNU;WISNU;1;;;;;;;;;;
Consumable Part;BATTERAY 12 V;G 35;;G02843090;;;;WISNU;G1-1;1;;;;;;;;;;
Consumable Part;BATTERAY 12 V;G 35;;G02844464;;;;WISNU;G1-1;1;;;;;;;;;;
Consumable Part;BATTERAY 12 V;G 35;;G02844465;;;;WISNU;G1-1;1;;;;;;;;;;
Consumable Part;BATTERAY 12 V;G 35;;G02844484;;;;WISNU;G1-1;1;;;;;;;;;;
Consumable Part;BATTERY;CR123A;;N/A;;;;WISNU;C2-2;8;;;;;;;;;;
Consumable Part;BATTERY;G243;;G02903025;;;;WISNU;I5-2;1;;;;;;;;;;
Consumable Part;BATTERY;G243;;G02903028;;;;WISNU;I5-2;1;;;;;;;;;;
Consumable Part;BATTERY;G243D;;G02897912;;;;WISNU;WISNU;0;;;;;;;;;;
Consumable Part;BATTERY;G243D;;G02897913;;;;WISNU;WISNU;0;;;;;;;;;;
Consumable Part;BATTERY;G243D;;G02903023;;;;WISNU;WISNU;0;;;;;;;;;;
Consumable Part;BATTERY;G243D;;G02903024;;;;WISNU;WISNU;1;;;;;;;;;;
Consumable Part;BATTERY;G243D;;G02909251;;;;WISNU;WISNU;0;;;;;;;;;;
Consumable Part;BATTERY;G243D;;G02909267;;;;WISNU;WISNU;0;;;;;;;;;;
Consumable Part;BATTERY CONTACTOR;S1580-1;;N/A;;;;WISNU;C3-1;2;;;;;;;;;;
Consumable Part;BATTERY CONTACTOR;S1580-1;;N/A;;;;WISNU;QUARANTINE;0;;;;;;;;;;
Consumable Part;BATTERY ELT 406;452-6499;;366039-076;;;;WISNU;C3-1;0;;;;;;;;;;
Consumable Part;BATTERY ELT 406;452-6499;;367876-062;;;;WISNU;C3-1;0;;;;;;;;;;
Consumable Part;BEARING;08125-20629;;N/A;;;;WISNU;A3-21;4;;;;;;;;;;
Consumable Part;BEARING;13889-20629;;N/A;;;;WISNU;A3-21;13;;;;;;;;;;
Consumable Part;BEARING;13889-2069;;N/A;;;;WISNU;A3-21;6;;;;;;;;;;
Consumable Part;BEARING;214-00400;;N/A;;;;WISNU;A3-12;2;;;;;;;;;;
Consumable Part;BEARING;214-00400;;N/A;;;;WISNU;A3-21;2;;;;;;;;;;
Consumable Part;BEARING;214-01400;;N/A;;;;WISNU;A3-21;2;;;;;;;;;;
Consumable Part;BEARING;214-03300;;N/A;;;;WISNU;A3-21;0;;;;;;;;;;
Consumable Part;BEARING;8125;;N/A;;;;WISNU;A3-21;1;;;;;;;;;;
Consumable Part;BEARING;LM29749-20629;;N/A;;;;WISNU;A3-21;2;;;;;;;;;;
Consumable Part;BEARING;LM67048-20629;;N/A;;;;WISNU;A3-21;3;;;;;;;;;;
Consumable Part;BEARING;S1003-29A;;N/A;;;;WISNU;A3-21;25;;;;;;;;;;
Consumable Part;BEARING;S1674-1;;N/A;;;;WISNU;A4-1;8;;;;;;;;;;
Consumable Part;BEARING;S1675-1;;N/A;;;;WISNU;A4-1;8;;;;;;;;;;
Consumable Part;BEARING AIR BOX;05-04443;;N/A;;;;WISNU;D2-11;0;;;;;;;;;;
Consumable Part;BEARING ROD END;432-606;;N/A;;;;WISNU;G3;10;;;;;;;;;;
