Stores;Warehouse;Category;Description
BWI;BANYUWANGI;SPARE PART;
JEMBER;JEMBER;SPARE PART;
LOMBOK;LOMBOK;SPARE PART;
SOLO;SOLO;SPARE PART;
A1-1;WISNU;SPARE PART;
A1-2;WISNU;SPARE PART;
A1-3;WISNU;SPARE PART;
A1-4;WISNU;SPARE PART;
A1-5;WISNU;SPARE PART;
A2;WISNU;SPARE PART;
A2-1;WISNU;SPARE PART;
A2-2;WISNU;SPARE PART;
A2-3;WISNU;SPARE PART;
A2-4;WISNU;SPARE PART;
A2-5;WISNU;SPARE PART;
A2-6;WISNU;SPARE PART;
A2-7;WISNU;SPARE PART;
A2-8;WISNU;SPARE PART;
A2-9;WISNU;SPARE PART;
A3-1;WISNU;SPARE PART;
A3-10;WISNU;SPARE PART;
A3-11;WISNU;SPARE PART;
A3-12;WISNU;SPARE PART;
A3-13;WISNU;SPARE PART;
A3-14;WISNU;SPARE PART;
A3-15;WISNU;SPARE PART;
A3-16;WISNU;SPARE PART;
A3-17;WISNU;SPARE PART;
A3-18;WISNU;SPARE PART;
A3-19;WISNU;SPARE PART;
A3-2;WISNU;SPARE PART;
A3-20;WISNU;SPARE PART;
A3-21;WISNU;SPARE PART;
A3-3;WISNU;SPARE PART;
A3-4;WISNU;SPARE PART;
A3-5;WISNU;SPARE PART;
A3-6;WISNU;SPARE PART;
A3-7;WISNU;SPARE PART;
A3-8;WISNU;SPARE PART;
A3-9;WISNU;SPARE PART;
A4-1;WISNU;SPARE PART;
A4-2;WISNU;SPARE PART;
A5-1;WISNU;SPARE PART;
A5-2;WISNU;SPARE PART;
A5-3;WISNU;SPARE PART;
A5-4;WISNU;SPARE PART;
A5-5;WISNU;SPARE PART;
A5-6;WISNU;SPARE PART;
A5-7;WISNU;SPARE PART;
A5-8;WISNU;SPARE PART;
A5-9;WISNU;SPARE PART;
B1;WISNU;SPARE PART;
B1-1;WISNU;SPARE PART;
B1-2;WISNU;SPARE PART;
B1-3;WISNU;SPARE PART;
B2;WISNU;SPARE PART;
B2-1;WISNU;SPARE PART;
B2-2;WISNU;SPARE PART;
B2-3;WISNU;SPARE PART;
B2-4;WISNU;SPARE PART;
B2-5;WISNU;SPARE PART;
B3;WISNU;SPARE PART;
B3-1;WISNU;SPARE PART;
B3-10;WISNU;SPARE PART;
B3-11;WISNU;SPARE PART;
B3-12;WISNU;SPARE PART;
B3-13;WISNU;SPARE PART;
B3-14;WISNU;SPARE PART;
B3-15;WISNU;SPARE PART;
B3-16;WISNU;SPARE PART;
B3-17;WISNU;SPARE PART;
B3-18;WISNU;SPARE PART;
B3-19;WISNU;SPARE PART;
B3-2;WISNU;SPARE PART;
B3-20;WISNU;SPARE PART;
B3-3;WISNU;SPARE PART;
B3-4;WISNU;SPARE PART;
B3-5;WISNU;SPARE PART;
B3-6;WISNU;SPARE PART;
B3-7;WISNU;SPARE PART;
B3-8;WISNU;SPARE PART;
B3-9;WISNU;SPARE PART;
B4;WISNU;SPARE PART;
B4-1;WISNU;SPARE PART;
B4-2;WISNU;SPARE PART;
B4-3;WISNU;SPARE PART;
B5;WISNU;SPARE PART;
B5-1;WISNU;SPARE PART;
B5-2;WISNU;SPARE PART;
B5-3;WISNU;SPARE PART;
B5-4;WISNU;SPARE PART;
B5-5;WISNU;SPARE PART;
BOX RIVET ROOL;WISNU;SPARE PART;
C1;WISNU;SPARE PART;
C1-1;WISNU;SPARE PART;
C1-2;WISNU;SPARE PART;
C1-3;WISNU;SPARE PART;
C1-4;WISNU;SPARE PART;
C1-5;WISNU;SPARE PART;
C2;WISNU;SPARE PART;
C2-1;WISNU;SPARE PART;
C2-2;WISNU;SPARE PART;
C2-3;WISNU;SPARE PART;
C2-4;WISNU;SPARE PART;
C2-5;WISNU;SPARE PART;
C2-6;WISNU;SPARE PART;
C3;WISNU;SPARE PART;
C3-1;WISNU;SPARE PART;
C3-2;WISNU;SPARE PART;
C3-3;WISNU;SPARE PART;
C3-4;WISNU;SPARE PART;
C3-5;WISNU;SPARE PART;
C4;WISNU;SPARE PART;
C4-1;WISNU;SPARE PART;
C4-2;WISNU;SPARE PART;
C4-3;WISNU;SPARE PART;
C4-4;WISNU;SPARE PART;
C4-5;WISNU;SPARE PART;
C5-1;WISNU;SPARE PART;
CONTAINER;WISNU;SPARE PART;
CUPBOARD DOCUMENT;WISNU;SPARE PART;
D1;WISNU;SPARE PART;
D2;WISNU;SPARE PART;
D2-1;WISNU;SPARE PART;
D2-10;WISNU;SPARE PART;
D2-11;WISNU;SPARE PART;
D2-12;WISNU;SPARE PART;
D2-13;WISNU;SPARE PART;
D2-14;WISNU;SPARE PART;
D2-15;WISNU;SPARE PART;
D2-16;WISNU;SPARE PART;
D2-2;WISNU;SPARE PART;
D2-3;WISNU;SPARE PART;
D2-4;WISNU;SPARE PART;
D2-5;WISNU;SPARE PART;
D2-6;WISNU;SPARE PART;
D2-7;WISNU;SPARE PART;
D2-8;WISNU;SPARE PART;
D2-9;WISNU;SPARE PART;
D3;WISNU;SPARE PART;
D3-1;WISNU;SPARE PART;
D3-10;WISNU;SPARE PART;
D3-11;WISNU;SPARE PART;
D3-12;WISNU;SPARE PART;
D3-13;WISNU;SPARE PART;
D3-14;WISNU;SPARE PART;
D3-15;WISNU;SPARE PART;
D3-2;WISNU;SPARE PART;
D3-3;WISNU;SPARE PART;
D3-4;WISNU;SPARE PART;
D3-5;WISNU;SPARE PART;
D3-6;WISNU;SPARE PART;
D3-7;WISNU;SPARE PART;
D3-8;WISNU;SPARE PART;
D3-9;WISNU;SPARE PART;
D4;WISNU;SPARE PART;
D4-9;WISNU;SPARE PART;
D5-15;WISNU;SPARE PART;
E;WISNU;SPARE PART;
E1;WISNU;SPARE PART;
E2;WISNU;SPARE PART;
E3;WISNU;SPARE PART;
E4;WISNU;SPARE PART;
E5;WISNU;SPARE PART;
F;WISNU;SPARE PART;
F1;WISNU;SPARE PART;
F2;WISNU;SPARE PART;
F3;WISNU;SPARE PART;
F4;WISNU;SPARE PART;
F5;WISNU;SPARE PART;
FLAMABLE ROOM;WISNU;SPARE PART;
G1;WISNU;SPARE PART;
G1-1;WISNU;SPARE PART;
G2;WISNU;SPARE PART;
G3;WISNU;SPARE PART;
G4;WISNU;SPARE PART;
G5;WISNU;SPARE PART;
H-5;WISNU;SPARE PART;
H1-4;WISNU;SPARE PART;
H4-2;WISNU;SPARE PART;
I4-1;WISNU;SPARE PART;
I5-2;WISNU;SPARE PART;
QUARANTINE;WISNU;SPARE PART;
SPECIAL;WISNU;SPARE PART;
SPECIAL TOOLS;WISNU;SPARE PART;
TOOLS;WISNU;SPARE PART;
WISNU;WISNU;SPARE PART;
